Dave

| # | lr   | gamma | batch | eps_start | eps_end | expl_fraction | policy    |
|---|------|-------|-------|-----------|---------|---------------|-----------|
| 1 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 2 | 5e-5 | 0.99  | 64    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 3 | 5e-4 | 0.99  | 32    | 1.0       | 0.05    | 0.05          | CnnPolicy |
| 4 | 1e-4 | 0.95  | 64    | 1.0       | 0.01    | 0.15          | CnnPolicy |
| 5 | 2e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.20          | CnnPolicy |
| 6 | 1e-4 | 0.90  | 128   | 1.0       | 0.05    | 0.10          | CnnPolicy |
| 7 | 5e-5 | 0.99  | 32    | 1.0       | 0.001   | 0.30          | CnnPolicy |
| 8 | 1e-3 | 0.95  | 64    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 9 | 1e-4 | 0.999 | 32    | 1.0       | 0.001   | 0.05          | CnnPolicy |
|10 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | MlpPolicy |


Queen

| # | lr   | gamma | batch | eps_start | eps_end | expl_fraction | policy    |
|---|------|-------|-------|-----------|---------|---------------|-----------|
| 1 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 2 | 1e-4 | 0.99  | 16    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 3 | 1e-4 | 0.99  | 128   | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 4 | 1e-4 | 0.99  | 256   | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 5 | 5e-5 | 0.99  | 64    | 1.0       | 0.05    | 0.15          | CnnPolicy |
| 6 | 2e-4 | 0.95  | 32    | 1.0       | 0.01    | 0.20          | CnnPolicy |
| 7 | 1e-4 | 0.99  | 64    | 1.0       | 0.01    | 0.25          | CnnPolicy |
| 8 | 5e-4 | 0.90  | 128   | 1.0       | 0.05    | 0.10          | CnnPolicy |
| 9 | 1e-4 | 0.999 | 16    | 1.0       | 0.001   | 0.10          | CnnPolicy |
|10 | 2e-4 | 0.99  | 256   | 1.0       | 0.01    | 0.05          | CnnPolicy |


Denis

| # | lr   | gamma | batch | eps_start | eps_end | expl_fraction | policy    |
|---|------|-------|-------|-----------|---------|---------------|-----------|
| 1 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 2 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.05          | CnnPolicy |
| 3 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.50          | CnnPolicy |
| 4 | 1e-4 | 0.99  | 32    | 1.0       | 0.10    | 0.10          | CnnPolicy |
| 5 | 1e-4 | 0.99  | 32    | 1.0       | 0.001   | 0.10          | CnnPolicy |
| 6 | 5e-5 | 0.95  | 64    | 1.0       | 0.05    | 0.20          | CnnPolicy |
| 7 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.30          | CnnPolicy |
| 8 | 2e-4 | 0.99  | 64    | 1.0       | 0.001   | 0.05          | CnnPolicy |
| 9 | 1e-4 | 0.90  | 32    | 1.0       | 0.10    | 0.50          | CnnPolicy |
|10 | 5e-4 | 0.99  | 32    | 1.0       | 0.05    | 0.15          | CnnPolicy |


Roxanne

| # | lr   | gamma | batch | eps_start | eps_end | expl_fraction | policy    |
|---|------|-------|-------|-----------|---------|---------------|-----------|
| 1 | 1e-4 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 2 | 5e-5 | 0.95  | 64    | 1.0       | 0.05    | 0.15          | CnnPolicy |
| 3 | 2e-4 | 0.99  | 16    | 1.0       | 0.01    | 0.20          | CnnPolicy |
| 4 | 1e-4 | 0.999 | 32    | 1.0       | 0.001   | 0.05          | CnnPolicy |
| 5 | 5e-4 | 0.90  | 128   | 1.0       | 0.10    | 0.10          | CnnPolicy |
| 6 | 1e-3 | 0.99  | 32    | 1.0       | 0.01    | 0.10          | CnnPolicy |
| 7 | 1e-4 | 0.95  | 64    | 1.0       | 0.05    | 0.30          | CnnPolicy |
| 8 | 5e-5 | 0.999 | 32    | 1.0       | 0.001   | 0.10          | CnnPolicy |
| 9 | 2e-4 | 0.90  | 64    | 1.0       | 0.01    | 0.20          | CnnPolicy |
|10 | 1e-4 | 0.99  | 128   | 1.0       | 0.05    | 0.15          | CnnPolicy |
