member_name,experiment_name,policy,lr,gamma,batch_size,exploration_fraction,exploration_initial_eps,exploration_final_eps,total_timesteps,mean_reward,std_reward,timestamp
Queen,queen_exp1,CnnPolicy,0.0001,0.99,32,0.1,1.0,0.01,100000,-21.0,0.0,2026-03-20T14:30:00.000000
Queen,queen_exp2,CnnPolicy,0.0001,0.99,16,0.1,1.0,0.01,100000,-21.0,0.0,2026-03-20T15:00:00.000000
Queen,queen_exp3,CnnPolicy,0.0001,0.99,128,0.1,1.0,0.01,100000,-21.0,0.0,2026-03-20T15:30:00.000000
Queen,queen_exp4,CnnPolicy,0.0001,0.99,256,0.1,1.0,0.01,100000,-21.0,0.0,2026-03-20T16:00:00.000000
Queen,queen_exp5,CnnPolicy,5e-05,0.99,64,0.15,1.0,0.05,100000,-20.4,0.489898,2026-03-20T16:30:00.000000
Queen,queen_exp6,CnnPolicy,0.0002,0.95,32,0.2,1.0,0.01,300000,-21.0,0.0,2026-03-20T18:00:00.000000
Queen,queen_exp7,CnnPolicy,0.0001,0.99,64,0.25,1.0,0.01,300000,-17.0,1.264911,2026-03-20T20:00:00.000000
Queen,queen_exp8,CnnPolicy,0.0005,0.9,128,0.1,1.0,0.05,300000,-21.0,0.0,2026-03-20T22:00:00.000000
Queen,queen_exp9,CnnPolicy,0.0001,0.999,16,0.1,1.0,0.001,300000,-21.0,0.0,2026-03-21T00:00:00.000000
Queen,queen_exp10,CnnPolicy,0.0002,0.99,256,0.05,1.0,0.01,300000,-21.0,0.0,2026-03-21T02:00:00.000000
